,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected,No Filters Selected
"Doll Dist - Spencer, IA",6039.204367,4361,438.330054,210440.45,48.25509057556,239,241,669,673,506,510,25.058939282158,8.973557751857,693,0.344877,-454,59,-6,186,139148,-21,01/02/2026,07/21/2026,31.9073607,2216,7819.355504,5709,567.534487,260993.51,45.71615169031,220,231,624,646,504,525,33.85002382684,12.104265486068,693,0.31746,-473,59,-5,186,0,-73,01/02/2025,07/22/2025,0,2023,-1780.151137,-1348,-129.204433,-50553.06,2.53893888525,19,10,45,27,2,-15,-8.791084544682,-3.130707734211,0,0.027417,19,0,-1,0,139148,52,31.9073607,193,-0.227659573233,-0.236118409529,-0.227659174834,-0.19369470145,0.055537021192,0.086364,0.04329,0.072115,0.041796,0.003968,-0.028571,-0.259706893846,-0.258644998973,0,0.086363636364,-0.040169,0,0.2,0,1,-0.712329,1,0.095403
"Central States Bev. Co. (High Life) - MO, MO",3313.679963,1748,240.509393,108242.8,61.923798627,217,217,533,533,488,488,15.270414576037,6.217035577861,2048,0.105957,-1831,26,-3,47,3937.8,-12,01/02/2026,07/21/2026,2.252746,1125,2104.524412,1241,152.748059,67099.4,54.06881547139,197,200,532,538,472,478,10.52262206,3.911755412639,2048,0.096191,-1851,26,-9,47,0,-22,03/07/2025,07/22/2025,0,781,1209.155551,507,87.761334,41143.4,7.85498315561,20,17,1,-5,16,10,4.747792516037,2.305280165222,0,0.009766,20,0,6,0,3937.8,10,2.252746,344,0.574550498966,0.408541498791,0.574549585602,0.61317090764,0.145277515091,0.101523,0.085,0.00188,-0.009294,0.033898,0.020921,0.451198616558,0.589321141545,0,0.101527169902,-0.010805,0,-0.666667,0,1,-0.454545,1,0.440461
"Lamonica Beverages Inc., IL",2953.466592,1559,214.364771,97506.5,62.54425914047,142,142,365,365,320,320,20.799060507042,8.091689293151,961,0.147763,-819,12,-3,14,66228.3,-5,01/02/2026,07/21/2026,42.48127004,832,1738.008838,832,126.145932,56391,67.77764423077,111,113,277,282,226,230,15.380609185841,6.163151907801,961,0.115505,-850,12,-2,14,0,-3,01/07/2025,07/22/2025,0,473,1215.457754,727,88.218839,41115.5,-5.2333850903,31,29,88,83,94,90,5.418451321201,1.92853738535,0,0.032258,31,0,-1,0,66228.3,-2,42.48127004,359,0.699339225109,0.873798076923,0.69933954747,0.72911457502,-0.077214030521,0.279279,0.256637,0.31769,0.294326,0.415929,0.391304,0.352291073502,0.312914141043,0,0.279277953335,-0.036471,0,0.5,0,1,0.666667,1,0.758985
"Wisconsin Distributors - Sun Prairie, WI",2872.897141,1401.875,208.517009,83705.5004,59.70967482835,314,314,597,597,564,564,9.149353952229,4.81222301675,4685,0.067022,-4371,0,0,0,57622.37,0,01/09/2026,07/21/2026,41.103786,852,0,0,0,0,0,0,0,0,0,0,0,0,0,4685,0,-4685,0,0,0,0,0,01/01/0001,01/01/0001,0,0,2872.897141,1401.875,208.517009,83705.5004,59.70967482835,314,314,597,597,564,564,9.149353952229,4.81222301675,0,0.067022,314,0,0,0,57622.37,0,41.103786,852,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,-0.067022,0,0,0,1,0,1,1
"Doll Dist - Council Bluffs, IA",2704.457723,2253,196.291718,91706.59,40.70421216156,148,148,519,519,416,416,18.273362993243,5.210901200385,583,0.253859,-435,56,-2,216,62178,-14,01/02/2026,07/21/2026,27.59786951,1128,2243.0177,1772,162.800116,79125.14,44.65301354402,145,148,445,448,355,358,15.155525,5.0067359375,583,0.248714,-438,56,-3,216,36711.05,-94,01/02/2025,07/22/2025,20.71729684,1114,461.440023,481,33.491602,12581.45,-3.94880138246,3,0,74,71,61,58,3.117837993243,0.204165262885,0,0.005145,3,0,1,0,25466.95,80,6.88057267,14,0.205722862998,0.27144469526,0.205722224424,0.15900698564,-0.088433032153,0.02069,0,0.166292,0.158482,0.171831,0.162011,0.205722862998,0.040778116808,0,0.020686410898,-0.006849,0,-0.333333,0,0.69371347,-0.851064,0.332117299044,0.012567
"Kabrick Dist, IA",2487.826597,1963,180.568453,85623.63,43.61876209883,131,132,379,380,298,299,18.847171189394,6.546912097368,347,0.377522,-216,35,-3,134,56614.8,-18,01/02/2026,07/21/2026,28.84095772,1132,1946.955485,1456,141.311647,68727.83,47.20317994505,119,121,301,305,237,240,16.090541198347,6.383460606557,347,0.342939,-228,35,-5,134,44058.17,-73,01/02/2025,07/22/2025,30.25973214,966,540.871112,507,39.256806,16895.8,-3.58441784622,12,11,78,75,61,59,2.756629991047,0.163451490811,0,0.034583,12,0,2,0,12556.63,55,-1.41877442,166,0.277803532832,0.348214285714,0.277803046199,0.24583636643,-0.075935940129,0.10084,0.090909,0.259136,0.245902,0.257384,0.245833,0.171319905096,0.025605467142,0,0.100843007065,-0.052632,0,-0.4,0,0.28500117,-0.753425,-0.046886549208,0.171843
"L&L Dist, IA",2416.736637,1804.583333,175.408642,82429.6872,45.67796105208,134,134,340,340,288,288,18.035348037313,7.108048932353,425,0.315294,-291,36,-5,117,55128.19,-11,01/02/2026,07/21/2026,30.54898546,991,1640.31386,1183.624999,119.05538,58857.1328,49.72616567724,122,122,301,301,253,253,13.44519557377,5.449547707641,425,0.287059,-303,36,-5,117,38365.51,-46,01/02/2025,07/22/2025,32.41356851,864,776.422777,620.958334,56.353262,23572.5544,-4.04820462516,12,12,39,39,35,35,4.590152463543,1.658501224712,0,0.028235,12,0,0,0,16762.68,35,-1.86458305,127,0.47333793607,0.524624213349,0.473336543044,0.40050463348,-0.08140994927,0.098361,0.098361,0.129568,0.129568,0.13834,0.13834,0.341397225378,0.304337408109,0,0.098359570681,-0.039604,0,0,0,0.43692056,-0.76087,-0.057524769278,0.146991
"Fahr Bev - West Union, IA",2251.288834,1702,163.400407,77879.32,45.75753231492,130,130,359,359,301,301,17.317606415385,6.270999537604,292,0.445205,-162,33,0,130,52861.95,-9,01/02/2026,07/21/2026,31.05872503,1032,2435.124387,1743,176.743323,84830.38,48.66917957544,122,128,359,371,289,300,19.024409273438,6.563677592992,292,0.417808,-170,33,-2,130,52733.5,-43,01/02/2025,07/22/2025,30.25444636,1120,-183.835553,-41,-13.342916,-6951.06,-2.91164726052,8,2,0,-12,12,1,-1.706802858053,-0.292678055388,0,0.027397,8,0,2,0,128.45,34,0.80427867,-88,-0.075493290602,-0.023522662077,-0.075493182846,-0.08194069153,-0.059825279282,0.065574,0.015625,0,-0.032345,0.041522,0.003333,-0.089716470747,-0.044590559369,0,0.06557318194,-0.047059,0,-1,0,0.00243583,-0.790698,0.02658381715,-0.078571
"Dean Distributing Inc., WI",2048.742164,1103,148.699283,60942.5,55.25158658205,264,264,466,466,432,432,7.760386984848,4.396442412017,2392,0.110368,-2128,13,0,64,42622,-35,01/06/2026,07/21/2026,38.64188577,733,0,0,0,0,0,0,0,0,0,0,0,0,0,2392,0,-2392,13,-13,64,0,-64,01/01/0001,01/01/0001,0,0,2048.742164,1103,148.699283,60942.5,55.25158658205,264,264,466,466,432,432,7.760386984848,4.396442412017,0,0.110368,264,0,13,0,42622,29,38.64188577,733,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,-0.110368,0,-1,0,1,-0.453125,1,1
"Schott Distributing Co. - Rochester, MN",1729.079979,616,125.497829,52064.81,84.52079545455,123,123,235,235,221,221,14.057560804878,7.357787144681,902,0.136364,-779,0,0,0,11811.95,0,03/25/2026,07/21/2026,19.17524351,354,0,0,0,0,0,0,0,0,0,0,0,0,0,902,0,-902,0,0,0,0,0,01/01/0001,01/01/0001,0,0,1729.079979,616,125.497829,52064.81,84.52079545455,123,123,235,235,221,221,14.057560804878,7.357787144681,0,0.136364,123,0,0,0,11811.95,0,19.17524351,354,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,-0.136364,0,0,0,1,0,1,1
"Quality Brands of Lincoln, NE",1673.02554,1361.666667,121.429535,55197.25,40.53653609779,113,114,238,239,199,200,14.675662631579,7.000106861925,922,0.12256,-809,42,-4,73,42558.75,-12,01/02/2026,07/21/2026,31.25489595,704,1359.629985,1121.75,98.683108,46862.75,41.77646534433,112,113,282,295,238,249,12.032123761062,4.60891520339,922,0.121475,-810,42,-6,73,0,-19,01/02/2025,07/22/2025,0,727,313.395555,239.916667,22.746427,8334.5,-1.23992924654,1,1,-44,-56,-39,-49,2.643538870517,2.391191658535,0,0.001085,1,0,2,0,42558.75,7,31.25489595,-23,0.230500620358,0.213877126811,0.230499702137,0.17784914458,-0.029680089886,0.008929,0.00885,-0.156028,-0.189831,-0.163866,-0.196787,0.219706755267,0.518818757346,0,0.008931878987,-0.001235,0,-0.333333,0,1,-0.368421,1,-0.031637
"Humes Dist, IA",1530.919974,1435,111.11547,54953.1,38.29484320557,91,91,284,284,234,234,16.823296417582,5.390563288732,280,0.325,-189,42,-4,136,37480.92,-16,01/02/2026,07/21/2026,26.11910801,812,1807.92886,1526,131.220968,62689,41.08060288336,84,84,254,254,201,201,21.522962619048,7.11783015748,280,0.3,-196,42,-4,136,37230.83,-50,01/02/2025,07/22/2025,24.39766055,763,-277.008886,-91,-20.105498,-7735.9,-2.78575967779,7,7,30,30,33,33,-4.699666201466,-1.727266868748,0,0.025,7,0,0,0,250.09,34,1.72144746,49,-0.153218908182,-0.059633027523,-0.153218638046,-0.12340123467,-0.06781204467,0.083333,0.083333,0.11811,0.11811,0.164179,0.164179,-0.218355915245,-0.242667615064,0,0.083333333333,-0.035714,0,0,0,0.00671728,-0.68,0.070557890437,0.06422
"Ike Auen Dist, IA",1148.195544,914,83.33696,40075.66,43.84645514223,87,88,190,193,162,164,13.047676636364,5.949199709845,315,0.27619,-228,17,0,53,27350.39,-2,01/02/2026,07/21/2026,29.92384026,573,986.208876,755,71.579842,35280.57,46.72923178808,81,82,161,165,135,138,12.026937512195,5.977023490909,315,0.257143,-234,17,-1,53,23662.48,-17,01/02/2025,07/22/2025,31.34103311,534,161.986668,159,11.757118,4795.09,-2.88277664585,6,6,29,28,27,26,1.020739124169,-0.027823781064,0,0.019047,6,0,1,0,3687.91,15,-1.41719285,39,0.164251886129,0.21059602649,0.164251801506,0.13591305356,-0.061691077202,0.074074,0.073171,0.180124,0.169697,0.2,0.188406,0.084871075711,-0.004655123258,0,0.074071625516,-0.025641,0,-1,0,0.15585475,-0.882353,-0.045218447172,0.073034
"Eagle Distributing Inc., NE",836.016637,671.75,60.678834,30813.25,45.8701153703,91,91,180,180,148,148,9.186996010989,4.644536872222,705,0.129078,-614,27,-1,52,13590.35,-3,01/02/2026,07/20/2026,20.23126163,479,0,0,0,0,0,0,0,0,0,0,0,0,0,705,0,-705,27,-27,52,0,-52,01/01/0001,01/01/0001,0,0,836.016637,671.75,60.678834,30813.25,45.8701153703,91,91,180,180,148,148,9.186996010989,4.644536872222,0,0.129078,91,0,26,0,13590.35,49,20.23126163,479,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,-0.129078,0,-0.962963,0,1,-0.942308,1,1
"G&M Distributors - Dixon, IL",706.044436,603,51.245319,24826.5,41.17164179104,126,126,232,232,205,205,5.603527269841,3.043294982759,693,0.181818,-567,18,-2,23,11379,-3,01/06/2026,07/21/2026,18.87064677,485,703.071094,571,51.029529,24339.82,42.62665499124,110,113,258,270,210,220,6.221868088496,2.603967014815,693,0.15873,-583,18,-2,23,0,-6,01/02/2025,07/22/2025,0,438,2.973342,32,0.21579,486.68,-1.4550132002,16,13,-26,-38,-5,-15,-0.618340818655,0.439327967944,0,0.023088,16,0,0,0,11379,3,18.87064677,47,0.004229077294,0.056042031524,0.004228728037,0.01999521771,-0.034133881734,0.145455,0.115044,-0.100775,-0.140741,-0.02381,-0.068182,-0.099381859252,0.168714874438,0,0.145454545455,-0.027444,0,0,0,1,-0.5,1,0.107306
"Brewers Distributing Inc., IL",702.462214,348,50.985245,21437.25,61.60129310345,73,73,123,123,103,103,9.622770054795,5.711074910569,915,0.079781,-842,18,-2,18,13416.75,-2,01/02/2026,07/22/2026,38.55387931,278,668.026643,421,48.48594,21538,51.15914489311,83,84,159,160,127,128,7.952698130952,4.17516651875,915,0.09071,-832,18,-2,18,0,-2,01/02/2025,07/22/2025,0,325,34.435571,-73,2.499305,-100.75,10.44214821034,-10,-11,-36,-37,-24,-25,1.670071923843,1.535908391819,0,-0.010929,-10,0,0,0,13416.75,0,38.55387931,-47,0.051548200002,-0.173396674584,0.051547005173,-0.00467777881,0.204111077935,-0.120482,-0.130952,-0.226415,-0.23125,-0.188976,-0.195313,0.210000668496,0.367867577238,0,-0.120482857458,0.012019,0,0,0,1,0,1,-0.144615
