,,,,,,,,,No Filters Selected,No Filters Selected,No Filters Selected
Distributors,OnOff Premises,Account Names,Address,City,State,Distributor,Item Names,Dist Routes,2 Quarters 4/1/2026 thru 7/20/2026  Case Equivs,2 Quarters 4/1/2026 thru 7/20/2026  Days Since Last Sale,2 Quarters 4/1/2026 thru 7/20/2026  Days Until Fall Off
"Doll Dist - Des Moines, IA",ON,50TH STREET TAP,265 50TH ST,WEST DES MOINES,IA,DOLL2,Neighborhood Beer 2/12/12oz Can,"LOGSDON  N 501- Doll Dist - Des Moines, IA",5,19,71
"Doll Dist - Des Moines, IA",ON,DES MOINES BIERGARTEN,2251 GEORGE FLAGG PKWY,DES MOINES,IA,DOLL2,Easy Eddy 1/2 Barrel Keg,"SWANSON  J 503- Doll Dist - Des Moines, IA",303.111113,5,85
"Doll Dist - Des Moines, IA",ON,DES MOINES BIERGARTEN,2251 GEORGE FLAGG PKWY,DES MOINES,IA,DOLL2,Double Blackberry 6/4/12oz Can,"SWANSON  J 503- Doll Dist - Des Moines, IA",5,15,75
"Doll Dist - Des Moines, IA",ON,SMASH PARK,6625 COACHILIGHT DR,WEST DES MOINES,IA,DOLL2,Easy Eddy 1/2 Barrel Keg,"TIARKS  J 504- Doll Dist - Des Moines, IA",186.000003,11,79
"Doll Dist - Des Moines, IA",ON,SMASH PARK,6625 COACHILIGHT DR,WEST DES MOINES,IA,DOLL2,Summer Jam 1/2 Barrel Keg,"TIARKS  J 504- Doll Dist - Des Moines, IA",41.333334,25,65
"Doll Dist - Des Moines, IA",ON,SMASH PARK,6625 COACHILIGHT DR,WEST DES MOINES,IA,DOLL2,Neighborhood Beer 1/2 Barrel Keg,"TIARKS  J 504- Doll Dist - Des Moines, IA",20.666667,102,-12
"Doll Dist - Des Moines, IA",ON,SMASH PARK,6625 COACHILIGHT DR,WEST DES MOINES,IA,DOLL2,Citrus Surfer 1/12/19.2oz Can,"TIARKS  J 504- Doll Dist - Des Moines, IA",18.4,7,83
"Doll Dist - Des Moines, IA",ON,SMASH PARK,6625 COACHILIGHT DR,WEST DES MOINES,IA,DOLL2,Summer Jam 1/6 Barrel Keg,"TIARKS  J 504- Doll Dist - Des Moines, IA",11.466666,55,35
"Doll Dist - Des Moines, IA",ON,SMASH PARK,6625 COACHILIGHT DR,WEST DES MOINES,IA,DOLL2,Zero Eddy 4/6/12oz Can,"TIARKS  J 504- Doll Dist - Des Moines, IA",9,11,79
"Doll Dist - Des Moines, IA",ON,SMASH PARK,6625 COACHILIGHT DR,WEST DES MOINES,IA,DOLL2,Strawberry Jam 1/6 Barrel Keg,"TIARKS  J 504- Doll Dist - Des Moines, IA",6.879999,102,-12
"Doll Dist - Des Moines, IA",ON,SMASH PARK,6625 COACHILIGHT DR,WEST DES MOINES,IA,DOLL2,Citrus Surfer 6/4/16oz Can,"TIARKS  J 504- Doll Dist - Des Moines, IA",5.333333,102,-12
"Doll Dist - Des Moines, IA",ON,30HOP,1535 SW MARKET ST STE 100,ANKENY,IA,DOLL2,Easy Eddy 1/2 Barrel Keg,"ALBERTS  D 602- Doll Dist - Des Moines, IA",96.444446,6,84
"Doll Dist - Des Moines, IA",ON,30HOP,1535 SW MARKET ST STE 100,ANKENY,IA,DOLL2,Citrus Surfer 1/2 Barrel Keg,"ALBERTS  D 602- Doll Dist - Des Moines, IA",82.666668,4,86
"Doll Dist - Des Moines, IA",ON,30HOP,1535 SW MARKET ST STE 100,ANKENY,IA,DOLL2,Neighborhood Beer 1/2 Barrel Keg,"ALBERTS  D 602- Doll Dist - Des Moines, IA",34.444445,6,84
"Doll Dist - Des Moines, IA",ON,30HOP,1535 SW MARKET ST STE 100,ANKENY,IA,DOLL2,Silo Amber 1/2 Barrel Keg,"ALBERTS  D 602- Doll Dist - Des Moines, IA",13.777778,20,70
"Doll Dist - Des Moines, IA",ON,30HOP,1535 SW MARKET ST STE 100,ANKENY,IA,DOLL2,Strawberry Jam 1/2 Barrel Keg,"ALBERTS  D 602- Doll Dist - Des Moines, IA",6.888889,111,-21
"Doll Dist - Des Moines, IA",ON,30HOP,1535 SW MARKET ST STE 100,ANKENY,IA,DOLL2,Wild Eddy 1/2 Barrel Keg,"ALBERTS  D 602- Doll Dist - Des Moines, IA",6.888889,90,0
"Doll Dist - Des Moines, IA",ON,30HOP,1535 SW MARKET ST STE 100,ANKENY,IA,DOLL2,Summer Jam 1/2 Barrel Keg,"ALBERTS  D 602- Doll Dist - Des Moines, IA",6.888889,67,23
"Doll Dist - Des Moines, IA",ON,30HOP,1535 SW MARKET ST STE 100,ANKENY,IA,DOLL2,Zero Eddy 4/6/12oz Can,"ALBERTS  D 602- Doll Dist - Des Moines, IA",6,13,77
"Doll Dist - Des Moines, IA",ON,CAPTAIN ROYS,1900 SAYLOR RD,DES MOINES,IA,DOLL2,Easy Eddy 6/4/16oz Can,"LOGSDON  N 501- Doll Dist - Des Moines, IA",93.333334,7,83
"Doll Dist - Des Moines, IA",ON,CAPTAIN ROYS,1900 SAYLOR RD,DES MOINES,IA,DOLL2,Citrus Surfer 6/4/16oz Can,"LOGSDON  N 501- Doll Dist - Des Moines, IA",82.666668,6,84
"Doll Dist - Des Moines, IA",ON,CAPTAIN ROYS,1900 SAYLOR RD,DES MOINES,IA,DOLL2,Neighborhood Beer 6/4/16oz Can,"LOGSDON  N 501- Doll Dist - Des Moines, IA",37.333333,7,83
"Doll Dist - Des Moines, IA",ON,CAPTAIN ROYS,1900 SAYLOR RD,DES MOINES,IA,DOLL2,Summer Jam 6/4/12oz Can,"LOGSDON  N 501- Doll Dist - Des Moines, IA",15,7,83
