,,,,,,,,,No Filters Selected,No Filters Selected,No Filters Selected
Distributors,OnOff Premises,Account Names,Address,City,State,Distributor,Item Names,Dist Routes,2 Quarters 4/1/2026 thru 7/20/2026  Case Equivs,2 Quarters 4/1/2026 thru 7/20/2026  Days Since Last Sale,2 Quarters 4/1/2026 thru 7/20/2026  Days Until Fall Off
"7G - Cedar Rapids, IA",OFF,KWIK STAR #1763,200 WELTER DR,MONTICELLO,IA,CEDAR,Royal Eddy 4/6/12oz Can,"DON ETSCHEIDT 172- 7G - Cedar Rapids, IA",1,102,-12
"7G - Cedar Rapids, IA",OFF,KWIK STAR #1763,200 WELTER DR,MONTICELLO,IA,CEDAR,Citrus Surfer 4/6/12oz Can,"DON ETSCHEIDT 172- 7G - Cedar Rapids, IA",1,18,72
"7G - Cedar Rapids, IA",OFF,KWIK STAR #1763,200 WELTER DR,MONTICELLO,IA,CEDAR,Easy Eddy 1/12/19.2 oz Can,"DON ETSCHEIDT 172- 7G - Cedar Rapids, IA",0.8,60,30
"7G - Cedar Rapids, IA",OFF,KWIK STAR #1763,200 WELTER DR,MONTICELLO,IA,CEDAR,Royal Eddy 1/12/19.2oz Can,"DON ETSCHEIDT 172- 7G - Cedar Rapids, IA",0.8,32,58
"7G - Cedar Rapids, IA",OFF,QUICK STOP,380 BLAIRS FERRY RD NE,CEDAR RAPIDS,IA,CEDAR,Wild Eddy 4/6/12oz Can,"MIKE OHL 171- 7G - Cedar Rapids, IA",5,7,83
"7G - Cedar Rapids, IA",OFF,QUICK STOP,380 BLAIRS FERRY RD NE,CEDAR RAPIDS,IA,CEDAR,Easy Eddy 2/12/12oz Can,"MIKE OHL 171- 7G - Cedar Rapids, IA",5,28,62
"7G - Cedar Rapids, IA",OFF,QUICK STOP,380 BLAIRS FERRY RD NE,CEDAR RAPIDS,IA,CEDAR,Royal Eddy 4/6/12oz Can,"MIKE OHL 171- 7G - Cedar Rapids, IA",4,7,83
"7G - Cedar Rapids, IA",OFF,QUICK STOP,380 BLAIRS FERRY RD NE,CEDAR RAPIDS,IA,CEDAR,Easy Eddy 4/6/12oz Can,"MIKE OHL 171- 7G - Cedar Rapids, IA",3,56,34
"7G - Cedar Rapids, IA",OFF,QUICK STOP,380 BLAIRS FERRY RD NE,CEDAR RAPIDS,IA,CEDAR,Citrus Surfer 4/6/12oz Can,"MIKE OHL 171- 7G - Cedar Rapids, IA",1,63,27
"7G - Cedar Rapids, IA",OFF,QUICK STOP,380 BLAIRS FERRY RD NE,CEDAR RAPIDS,IA,CEDAR,Eddy Variety Pack 2/12/12oz Can,"MIKE OHL 171- 7G - Cedar Rapids, IA",1,105,-15
"7G - Cedar Rapids, IA",OFF,QUICK STOP,380 BLAIRS FERRY RD NE,CEDAR RAPIDS,IA,CEDAR,Neighborhood Beer 4/6/12oz Can,"MIKE OHL 171- 7G - Cedar Rapids, IA",1,77,13
"7G - Cedar Rapids, IA",OFF,L D EXPRESS,900 W PENN ST,NORTH LIBERTY,IA,CEDAR,Easy Eddy 4/6/12oz Can,"AUSTIN BALIK 151- 7G - Cedar Rapids, IA",14,12,78
"7G - Cedar Rapids, IA",OFF,L D EXPRESS,900 W PENN ST,NORTH LIBERTY,IA,CEDAR,Citrus Surfer 4/6/12oz Can,"AUSTIN BALIK 151- 7G - Cedar Rapids, IA",6,12,78
"7G - Cedar Rapids, IA",OFF,CASEYS #2776,701 ELLIS BLVD NW,CEDAR RAPIDS,IA,CEDAR,Easy Eddy 4/6/12oz Can,"LOGAN COMERO 163- 7G - Cedar Rapids, IA",12,20,70
"7G - Cedar Rapids, IA",OFF,CASEYS #2776,701 ELLIS BLVD NW,CEDAR RAPIDS,IA,CEDAR,Citrus Surfer 4/6/12oz Can,"LOGAN COMERO 163- 7G - Cedar Rapids, IA",4,20,70
"7G - Cedar Rapids, IA",OFF,CASEYS #2776,701 ELLIS BLVD NW,CEDAR RAPIDS,IA,CEDAR,Easy Eddy 1/12/19.2 oz Can,"LOGAN COMERO 163- 7G - Cedar Rapids, IA",4,20,70
"7G - Cedar Rapids, IA",OFF,KWIK SPIRITS #560,2846 MT VERNON RD SE,CEDAR RAPIDS,IA,CEDAR,Easy Eddy 4/6/12oz Can,"JARED ZEUTENHO 162- 7G - Cedar Rapids, IA",13,75,15
"7G - Cedar Rapids, IA",OFF,KWIK SPIRITS #560,2846 MT VERNON RD SE,CEDAR RAPIDS,IA,CEDAR,Citrus Surfer 4/6/12oz Can,"JARED ZEUTENHO 162- 7G - Cedar Rapids, IA",4,75,15
"7G - Cedar Rapids, IA",OFF,KWIK SPIRITS #560,2846 MT VERNON RD SE,CEDAR RAPIDS,IA,CEDAR,Boomtown 4/6/12oz Can,"JARED ZEUTENHO 162- 7G - Cedar Rapids, IA",2,96,-6
"7G - Cedar Rapids, IA",OFF,KWIK SPIRITS #560,2846 MT VERNON RD SE,CEDAR RAPIDS,IA,CEDAR,Easy Eddy 1/12/19.2 oz Can,"JARED ZEUTENHO 162- 7G - Cedar Rapids, IA",0.8,75,15
"7G - Cedar Rapids, IA",OFF,MEGA SAVER,2604 16TH AVE,CEDAR RAPIDS,IA,CEDAR,Easy Eddy 2/12/12oz Can,"LOGAN COMERO 163- 7G - Cedar Rapids, IA",9,13,77
"7G - Cedar Rapids, IA",OFF,MEGA SAVER,2604 16TH AVE,CEDAR RAPIDS,IA,CEDAR,Easy Eddy 1/12/19.2 oz Can,"LOGAN COMERO 163- 7G - Cedar Rapids, IA",5.6,6,84
"7G - Cedar Rapids, IA",OFF,MEGA SAVER,2604 16TH AVE,CEDAR RAPIDS,IA,CEDAR,Easy Eddy 4/6/12oz Can,"LOGAN COMERO 163- 7G - Cedar Rapids, IA",5,20,70
"7G - Cedar Rapids, IA",OFF,CASEYS #3645,302 N DEVOE ST,LONE TREE,IA,CEDAR,Tigerhawk 2/12/12oz Can,"AUSTIN BALIK 151- 7G - Cedar Rapids, IA",7,33,57
"7G - Cedar Rapids, IA",OFF,CASEYS #3645,302 N DEVOE ST,LONE TREE,IA,CEDAR,Easy Eddy 4/6/12oz Can,"AUSTIN BALIK 151- 7G - Cedar Rapids, IA",4,12,78
"7G - Cedar Rapids, IA",OFF,CASEYS #3645,302 N DEVOE ST,LONE TREE,IA,CEDAR,Neighborhood Beer 4/6/12oz Can,"AUSTIN BALIK 151- 7G - Cedar Rapids, IA",3,40,50
"7G - Cedar Rapids, IA",OFF,CASEYS #3645,302 N DEVOE ST,LONE TREE,IA,CEDAR,Citrus Surfer 4/6/12oz Can,"AUSTIN BALIK 151- 7G - Cedar Rapids, IA",2,89,1
"7G - Cedar Rapids, IA",OFF,CASEYS #3645,302 N DEVOE ST,LONE TREE,IA,CEDAR,Easy Eddy 1/12/19.2 oz Can,"AUSTIN BALIK 151- 7G - Cedar Rapids, IA",1.6,54,36
"7G - Cedar Rapids, IA",OFF,CASEYS #3645,302 N DEVOE ST,LONE TREE,IA,CEDAR,Royal Eddy 4/6/12oz Can,"AUSTIN BALIK 151- 7G - Cedar Rapids, IA",1,61,29
"7G - Cedar Rapids, IA",OFF,CASEYS #3645,302 N DEVOE ST,LONE TREE,IA,CEDAR,Royal Eddy 1/12/19.2oz Can,"AUSTIN BALIK 151- 7G - Cedar Rapids, IA",0.8,19,71
"7G - Cedar Rapids, IA",OFF,CASEYS #3898,23485 COUNTY RD E34,ANAMOSA,IA,CEDAR,Easy Eddy 2/12/12oz Can,"DON ETSCHEIDT 172- 7G - Cedar Rapids, IA",5,5,85
"7G - Cedar Rapids, IA",OFF,CASEYS #3898,23485 COUNTY RD E34,ANAMOSA,IA,CEDAR,Easy Eddy 4/6/12oz Can,"DON ETSCHEIDT 172- 7G - Cedar Rapids, IA",5,5,85
"7G - Cedar Rapids, IA",OFF,CASEYS #3898,23485 COUNTY RD E34,ANAMOSA,IA,CEDAR,Citrus Surfer 4/6/12oz Can,"DON ETSCHEIDT 172- 7G - Cedar Rapids, IA",4,33,57
"7G - Cedar Rapids, IA",OFF,CASEYS #3898,23485 COUNTY RD E34,ANAMOSA,IA,CEDAR,Tigerhawk 2/12/12oz Can,"DON ETSCHEIDT 172- 7G - Cedar Rapids, IA",2,12,78
"7G - Cedar Rapids, IA",OFF,CASEYS #3898,23485 COUNTY RD E34,ANAMOSA,IA,CEDAR,Easy Eddy 1/12/19.2 oz Can,"DON ETSCHEIDT 172- 7G - Cedar Rapids, IA",1.6,47,43
"7G - Cedar Rapids, IA",OFF,CASEYS #3898,23485 COUNTY RD E34,ANAMOSA,IA,CEDAR,Arms Race Pale Ale 4/6/12oz Can,"DON ETSCHEIDT 172- 7G - Cedar Rapids, IA",1,82,8
"7G - Cedar Rapids, IA",OFF,CASEYS #3898,23485 COUNTY RD E34,ANAMOSA,IA,CEDAR,Citrus Surfer 1/12/19.2oz Can,"DON ETSCHEIDT 172- 7G - Cedar Rapids, IA",0.8,110,-20
"7G - Cedar Rapids, IA",OFF,THE GAS SPOT,2904 CENTER POINT RD NE,CEDAR RAPIDS,IA,CEDAR,Easy Eddy 4/6/12oz Can,"LOGAN COMERO 163- 7G - Cedar Rapids, IA",9,13,77
"7G - Cedar Rapids, IA",OFF,THE GAS SPOT,2904 CENTER POINT RD NE,CEDAR RAPIDS,IA,CEDAR,Easy Eddy 1/12/19.2 oz Can,"LOGAN COMERO 163- 7G - Cedar Rapids, IA",7.2,13,77
"7G - Cedar Rapids, IA",OFF,THE GAS SPOT,2904 CENTER POINT RD NE,CEDAR RAPIDS,IA,CEDAR,Citrus Surfer 4/6/12oz Can,"LOGAN COMERO 163- 7G - Cedar Rapids, IA",3,27,63
"7G - Cedar Rapids, IA",OFF,MEGA SAVER #5214,1203 BLAIRS FERRY RD,MARION,IA,CEDAR,Easy Eddy 4/6/12oz Can,"JARED ZEUTENHO 162- 7G - Cedar Rapids, IA",9,20,70
"7G - Cedar Rapids, IA",OFF,MEGA SAVER #5214,1203 BLAIRS FERRY RD,MARION,IA,CEDAR,Easy Eddy 2/12/12oz Can,"JARED ZEUTENHO 162- 7G - Cedar Rapids, IA",7,27,63
"7G - Cedar Rapids, IA",OFF,MEGA SAVER #5214,1203 BLAIRS FERRY RD,MARION,IA,CEDAR,Easy Eddy 1/12/19.2 oz Can,"JARED ZEUTENHO 162- 7G - Cedar Rapids, IA",2.4,20,70
"7G - Cedar Rapids, IA",OFF,CASEYS #2924,1100 EAGLEVIEW DR,MARION,IA,CEDAR,Easy Eddy 4/6/12oz Can,"MIKE OHL 171- 7G - Cedar Rapids, IA",12,12,78
"7G - Cedar Rapids, IA",OFF,CASEYS #2924,1100 EAGLEVIEW DR,MARION,IA,CEDAR,Easy Eddy 1/12/19.2 oz Can,"MIKE OHL 171- 7G - Cedar Rapids, IA",6.4,12,78
"7G - Cedar Rapids, IA",OFF,LEFTYS CONVENIENCE,4649 HIGHWAY 13,CENTRAL CITY,IA,CEDAR,Easy Eddy 4/6/12oz Can,"DON ETSCHEIDT 172- 7G - Cedar Rapids, IA",11,12,78
"7G - Cedar Rapids, IA",OFF,LEFTYS CONVENIENCE,4649 HIGHWAY 13,CENTRAL CITY,IA,CEDAR,Royal Eddy 1/12/19.2oz Can,"DON ETSCHEIDT 172- 7G - Cedar Rapids, IA",2.4,26,64
"7G - Cedar Rapids, IA",OFF,LEFTYS CONVENIENCE,4649 HIGHWAY 13,CENTRAL CITY,IA,CEDAR,Citrus Surfer 4/6/12oz Can,"DON ETSCHEIDT 172- 7G - Cedar Rapids, IA",2,26,64
"7G - Cedar Rapids, IA",OFF,LEFTYS CONVENIENCE,4649 HIGHWAY 13,CENTRAL CITY,IA,CEDAR,Easy Eddy 1/12/19.2 oz Can,"DON ETSCHEIDT 172- 7G - Cedar Rapids, IA",1.6,47,43
"7G - Cedar Rapids, IA",OFF,LEFTYS CONVENIENCE,4649 HIGHWAY 13,CENTRAL CITY,IA,CEDAR,Neighborhood Beer 4/6/12oz Can,"DON ETSCHEIDT 172- 7G - Cedar Rapids, IA",1,89,1
"7G - Cedar Rapids, IA",OFF,SECRET CELLAR WINE SHOP,1205 CURTIS BRIDGE RD NE,SWISHER,IA,CEDAR,Citrus Surfer 1/2 Barrel Keg,"PROSELL SKYLA 392- 7G - Cedar Rapids, IA",6.888889,46,44
"7G - Cedar Rapids, IA",OFF,SECRET CELLAR WINE SHOP,1205 CURTIS BRIDGE RD NE,SWISHER,IA,CEDAR,Easy Eddy 4/6/12oz Can,"PROSELL SKYLA 392- 7G - Cedar Rapids, IA",4,7,83
"7G - Cedar Rapids, IA",OFF,SECRET CELLAR WINE SHOP,1205 CURTIS BRIDGE RD NE,SWISHER,IA,CEDAR,Summer Jam 6/4/12oz Can,"PROSELL SKYLA 392- 7G - Cedar Rapids, IA",3,19,71
"7G - Cedar Rapids, IA",OFF,SECRET CELLAR WINE SHOP,1205 CURTIS BRIDGE RD NE,SWISHER,IA,CEDAR,Royal Eddy 4/6/12oz Can,"PROSELL SKYLA 392- 7G - Cedar Rapids, IA",2,7,83
"7G - Cedar Rapids, IA",OFF,SECRET CELLAR WINE SHOP,1205 CURTIS BRIDGE RD NE,SWISHER,IA,CEDAR,Wild Eddy 4/6/12oz Can,"PROSELL SKYLA 392- 7G - Cedar Rapids, IA",2,7,83
"7G - Cedar Rapids, IA",OFF,DISCOUNT LIQUOR,2933 1ST AVE NE,CEDAR RAPIDS,IA,CEDAR,Easy Eddy 4/6/12oz Can,"TREY MCDONALD 143- 7G - Cedar Rapids, IA",5,49,41
"7G - Cedar Rapids, IA",OFF,DISCOUNT LIQUOR,2933 1ST AVE NE,CEDAR RAPIDS,IA,CEDAR,Easy Eddy 2/12/12oz Can,"TREY MCDONALD 143- 7G - Cedar Rapids, IA",5,49,41
"7G - Cedar Rapids, IA",OFF,DISCOUNT LIQUOR,2933 1ST AVE NE,CEDAR RAPIDS,IA,CEDAR,Royal Eddy 4/6/12oz Can,"TREY MCDONALD 143- 7G - Cedar Rapids, IA",5,28,62
"7G - Cedar Rapids, IA",OFF,DISCOUNT LIQUOR,2933 1ST AVE NE,CEDAR RAPIDS,IA,CEDAR,Neighborhood Beer 4/6/12oz Can,"TREY MCDONALD 143- 7G - Cedar Rapids, IA",1,56,34
"7G - Cedar Rapids, IA",OFF,DISCOUNT LIQUOR,2933 1ST AVE NE,CEDAR RAPIDS,IA,CEDAR,Tigerhawk 2/12/12oz Can,"TREY MCDONALD 143- 7G - Cedar Rapids, IA",1,35,55
"7G - Cedar Rapids, IA",OFF,DISCOUNT LIQUOR,2933 1ST AVE NE,CEDAR RAPIDS,IA,CEDAR,Easy Eddy 1/12/19.2 oz Can,"TREY MCDONALD 143- 7G - Cedar Rapids, IA",0.8,105,-15
"7G - Cedar Rapids, IA",OFF,CITY LIQUOR,425 S GILBERT ST,IOWA CITY,IA,CEDAR,Easy Eddy 2/12/12oz Can,"TYLER KIOUS 153- 7G - Cedar Rapids, IA",6,60,30
"7G - Cedar Rapids, IA",OFF,CITY LIQUOR,425 S GILBERT ST,IOWA CITY,IA,CEDAR,Easy Eddy 4/6/12oz Can,"TYLER KIOUS 153- 7G - Cedar Rapids, IA",4,18,72
"7G - Cedar Rapids, IA",OFF,CITY LIQUOR,425 S GILBERT ST,IOWA CITY,IA,CEDAR,Easy Going 2/12/12oz Can,"TYLER KIOUS 153- 7G - Cedar Rapids, IA",2,102,-12
"7G - Cedar Rapids, IA",OFF,CITY LIQUOR,425 S GILBERT ST,IOWA CITY,IA,CEDAR,Arms Race Pale Ale 4/6/12oz Can,"TYLER KIOUS 153- 7G - Cedar Rapids, IA",1,60,30
"7G - Cedar Rapids, IA",OFF,CITY LIQUOR,425 S GILBERT ST,IOWA CITY,IA,CEDAR,Easy Going 4/6/12oz Can,"TYLER KIOUS 153- 7G - Cedar Rapids, IA",1,102,-12
"7G - Cedar Rapids, IA",OFF,CITY LIQUOR,425 S GILBERT ST,IOWA CITY,IA,CEDAR,Eddy Variety Pack 2/12/12oz Can,"TYLER KIOUS 153- 7G - Cedar Rapids, IA",1,60,30
"7G - Cedar Rapids, IA",OFF,CITY LIQUOR,425 S GILBERT ST,IOWA CITY,IA,CEDAR,Citrus Surfer 2/12/12oz Can,"TYLER KIOUS 153- 7G - Cedar Rapids, IA",1,102,-12
"7G - Cedar Rapids, IA",OFF,CITY LIQUOR,425 S GILBERT ST,IOWA CITY,IA,CEDAR,Eddy Variety Pack 2/12/12oz Can,"TYLER KIOUS 153- 7G - Cedar Rapids, IA",1,102,-12
"7G - Cedar Rapids, IA",OFF,CITY LIQUOR,425 S GILBERT ST,IOWA CITY,IA,CEDAR,Easy Eddy 1/12/19.2 oz Can,"TYLER KIOUS 153- 7G - Cedar Rapids, IA",0.8,18,72
"7G - Cedar Rapids, IA",OFF,CASEYS #2779,1987 2ND ST,CORALVILLE,IA,CEDAR,Easy Eddy 4/6/12oz Can,"TYLER KIOUS 153- 7G - Cedar Rapids, IA",12,12,78
"7G - Cedar Rapids, IA",OFF,CASEYS #2779,1987 2ND ST,CORALVILLE,IA,CEDAR,Easy Eddy 1/12/19.2 oz Can,"TYLER KIOUS 153- 7G - Cedar Rapids, IA",5.6,5,85
"7G - Cedar Rapids, IA",OFF,CASEYS #2989,206 SHORT ST,MECHANICSVILLE,IA,CEDAR,Easy Eddy 4/6/12oz Can,"TREY MCDONALD 143- 7G - Cedar Rapids, IA",11,5,85
"7G - Cedar Rapids, IA",OFF,CASEYS #2989,206 SHORT ST,MECHANICSVILLE,IA,CEDAR,Easy Eddy 1/12/19.2 oz Can,"TREY MCDONALD 143- 7G - Cedar Rapids, IA",6.4,12,78
"7G - Cedar Rapids, IA",OFF,HY VEE FAST & FRESH #1064,3935 BLAIRS FERRY RD,CEDAR RAPIDS,IA,CEDAR,Easy Eddy 4/6/12oz Can,"LOGAN COMERO 163- 7G - Cedar Rapids, IA",7,11,79
"7G - Cedar Rapids, IA",OFF,HY VEE FAST & FRESH #1064,3935 BLAIRS FERRY RD,CEDAR RAPIDS,IA,CEDAR,Easy Eddy 1/12/19.2 oz Can,"LOGAN COMERO 163- 7G - Cedar Rapids, IA",6.4,11,79
"7G - Cedar Rapids, IA",OFF,HY VEE FAST & FRESH #1064,3935 BLAIRS FERRY RD,CEDAR RAPIDS,IA,CEDAR,Tigerhawk 4/6/16oz Can,"LOGAN COMERO 163- 7G - Cedar Rapids, IA",3.999999,11,79
"7G - Cedar Rapids, IA",OFF,HAWKS LIQUOR & TOBACCO #6190,2425 2ND ST,CORALVILLE,IA,CEDAR,Easy Eddy 4/6/12oz Can,"TYLER KIOUS 153- 7G - Cedar Rapids, IA",12,5,85
"7G - Cedar Rapids, IA",OFF,HAWKS LIQUOR & TOBACCO #6190,2425 2ND ST,CORALVILLE,IA,CEDAR,Easy Eddy 1/12/19.2 oz Can,"TYLER KIOUS 153- 7G - Cedar Rapids, IA",4,12,78
"7G - Cedar Rapids, IA",OFF,HAWKS LIQUOR & TOBACCO #6190,2425 2ND ST,CORALVILLE,IA,CEDAR,Tigerhawk 2/12/12oz Can,"TYLER KIOUS 153- 7G - Cedar Rapids, IA",1,5,85
"7G - Cedar Rapids, IA",OFF,MAVERIK COUNTRY STORE #5170,1178 ENTERPRISE DR,RIVERSIDE,IA,CEDAR,Easy Eddy 4/6/12oz Can,"AUSTIN BALIK 151- 7G - Cedar Rapids, IA",17,5,85
"7G - Cedar Rapids, IA",OFF,MAVERIK COUNTRY STORE #5079,620 S DOWNEY ST,WEST BRANCH,IA,CEDAR,Easy Eddy 4/6/12oz Can,"AUSTIN BALIK 151- 7G - Cedar Rapids, IA",8,6,84
"7G - Cedar Rapids, IA",OFF,MAVERIK COUNTRY STORE #5079,620 S DOWNEY ST,WEST BRANCH,IA,CEDAR,Easy Eddy 2/12/12oz Can,"AUSTIN BALIK 151- 7G - Cedar Rapids, IA",8,55,35
"7G - Cedar Rapids, IA",OFF,KEYSTONE LIQUOR & WINE,517 2ND ST STE 2,CORALVILLE,IA,CEDAR,Easy Eddy 4/6/12oz Can,"AUSTIN BALIK 151- 7G - Cedar Rapids, IA",7,33,57
"7G - Cedar Rapids, IA",OFF,KEYSTONE LIQUOR & WINE,517 2ND ST STE 2,CORALVILLE,IA,CEDAR,Royal Eddy 4/6/12oz Can,"AUSTIN BALIK 151- 7G - Cedar Rapids, IA",6,12,78
"7G - Cedar Rapids, IA",OFF,KEYSTONE LIQUOR & WINE,517 2ND ST STE 2,CORALVILLE,IA,CEDAR,Citrus Surfer 4/6/12oz Can,"AUSTIN BALIK 151- 7G - Cedar Rapids, IA",3,47,43
"7G - Cedar Rapids, IA",OFF,JIMS FOODS SOUTHEAST,3102 MT VERNON RD SE,CEDAR RAPIDS,IA,CEDAR,Easy Eddy 4/6/12oz Can,"LARRY HEGGEBO 173- 7G - Cedar Rapids, IA",9,5,85
"7G - Cedar Rapids, IA",OFF,JIMS FOODS SOUTHEAST,3102 MT VERNON RD SE,CEDAR RAPIDS,IA,CEDAR,Easy Eddy 1/12/19.2 oz Can,"LARRY HEGGEBO 173- 7G - Cedar Rapids, IA",5.6,5,85
"7G - Cedar Rapids, IA",OFF,JIMS FOODS SOUTHEAST,3102 MT VERNON RD SE,CEDAR RAPIDS,IA,CEDAR,Citrus Surfer 4/6/12oz Can,"LARRY HEGGEBO 173- 7G - Cedar Rapids, IA",1,5,85
"7G - Cedar Rapids, IA",OFF,CASEYS #2782,1495 BLAIRS FERRY RD NE,CEDAR RAPIDS,IA,CEDAR,Easy Eddy 4/6/12oz Can,"MIKE OHL 171- 7G - Cedar Rapids, IA",15,14,76
"7G - Cedar Rapids, IA",OFF,BP TO GO #UNK,250 16TH AVE SW,CEDAR RAPIDS,IA,CEDAR,Easy Eddy 1/12/19.2 oz Can,"JEFF MCDONALD 161- 7G - Cedar Rapids, IA",7.2,6,84
"7G - Cedar Rapids, IA",OFF,BP TO GO #UNK,250 16TH AVE SW,CEDAR RAPIDS,IA,CEDAR,Easy Eddy 2/12/12oz Can,"JEFF MCDONALD 161- 7G - Cedar Rapids, IA",7,6,84
"7G - Cedar Rapids, IA",OFF,GM MART,2601 HWY 6 E,IOWA CITY,IA,CEDAR,Easy Eddy 4/6/12oz Can,"NICK BLANCHARD 152- 7G - Cedar Rapids, IA",8,27,63
"7G - Cedar Rapids, IA",OFF,GM MART,2601 HWY 6 E,IOWA CITY,IA,CEDAR,Royal Eddy 4/6/12oz Can,"NICK BLANCHARD 152- 7G - Cedar Rapids, IA",4,27,63
"7G - Cedar Rapids, IA",OFF,GM MART,2601 HWY 6 E,IOWA CITY,IA,CEDAR,Citrus Surfer 4/6/12oz Can,"NICK BLANCHARD 152- 7G - Cedar Rapids, IA",2,13,77
"7G - Cedar Rapids, IA",OFF,CASEYS #2667,403 STEPHANS ST,TIFFIN,IA,CEDAR,Easy Eddy 4/6/12oz Can,"TYLER KIOUS 153- 7G - Cedar Rapids, IA",9,21,69
"7G - Cedar Rapids, IA",OFF,CASEYS #2667,403 STEPHANS ST,TIFFIN,IA,CEDAR,Easy Eddy 1/12/19.2 oz Can,"TYLER KIOUS 153- 7G - Cedar Rapids, IA",4.8,14,76
"7G - Cedar Rapids, IA",OFF,CASEYS #5079,2100 S MAIN ST,MONTICELLO,IA,CEDAR,Tigerhawk 2/12/12oz Can,"DON ETSCHEIDT 172- 7G - Cedar Rapids, IA",7,11,79
"7G - Cedar Rapids, IA",OFF,CASEYS #5079,2100 S MAIN ST,MONTICELLO,IA,CEDAR,Eddy Variety Pack 2/12/12oz Can,"DON ETSCHEIDT 172- 7G - Cedar Rapids, IA",2,95,-5
"7G - Cedar Rapids, IA",OFF,CASEYS #5079,2100 S MAIN ST,MONTICELLO,IA,CEDAR,Easy Eddy 1/12/19.2 oz Can,"DON ETSCHEIDT 172- 7G - Cedar Rapids, IA",1.6,32,58
"7G - Cedar Rapids, IA",OFF,CASEYS #5079,2100 S MAIN ST,MONTICELLO,IA,CEDAR,Easy Eddy 4/6/12oz Can,"DON ETSCHEIDT 172- 7G - Cedar Rapids, IA",1,4,86
"7G - Cedar Rapids, IA",OFF,CASEYS #5079,2100 S MAIN ST,MONTICELLO,IA,CEDAR,Eddy Variety Pack 2/12/12oz Can,"DON ETSCHEIDT 172- 7G - Cedar Rapids, IA",1,4,86
"7G - Cedar Rapids, IA",OFF,CASEYS #5079,2100 S MAIN ST,MONTICELLO,IA,CEDAR,Citrus Surfer 1/12/19.2oz Can,"DON ETSCHEIDT 172- 7G - Cedar Rapids, IA",0.8,102,-12
"7G - Cedar Rapids, IA",OFF,SMOKIN JOES TOBACCO & L #7,904 1ST AVE NW,CEDAR RAPIDS,IA,CEDAR,Easy Eddy 4/6/12oz Can,"LOGAN COMERO 163- 7G - Cedar Rapids, IA",6,27,63
"7G - Cedar Rapids, IA",OFF,SMOKIN JOES TOBACCO & L #7,904 1ST AVE NW,CEDAR RAPIDS,IA,CEDAR,Tigerhawk 4/6/16oz Can,"LOGAN COMERO 163- 7G - Cedar Rapids, IA",2.666666,13,77
"7G - Cedar Rapids, IA",OFF,SMOKIN JOES TOBACCO & L #7,904 1ST AVE NW,CEDAR RAPIDS,IA,CEDAR,Neighborhood Beer 4/6/12oz Can,"LOGAN COMERO 163- 7G - Cedar Rapids, IA",2,6,84
"7G - Cedar Rapids, IA",OFF,SMOKIN JOES TOBACCO & L #7,904 1ST AVE NW,CEDAR RAPIDS,IA,CEDAR,Easy Eddy 1/12/19.2 oz Can,"LOGAN COMERO 163- 7G - Cedar Rapids, IA",1.6,48,42
"7G - Cedar Rapids, IA",OFF,SMOKIN JOES TOBACCO & L #7,904 1ST AVE NW,CEDAR RAPIDS,IA,CEDAR,Citrus Surfer 4/6/12oz Can,"LOGAN COMERO 163- 7G - Cedar Rapids, IA",1,104,-14
"7G - Cedar Rapids, IA",OFF,URBAN FUEL- N LIBERTY,1 HAWKEYE DR,NORTH LIBERTY,IA,CEDAR,Easy Eddy 4/6/12oz Can,"AUSTIN BALIK 151- 7G - Cedar Rapids, IA",4,19,71
"7G - Cedar Rapids, IA",OFF,URBAN FUEL- N LIBERTY,1 HAWKEYE DR,NORTH LIBERTY,IA,CEDAR,Royal Eddy 1/12/19.2oz Can,"AUSTIN BALIK 151- 7G - Cedar Rapids, IA",2.4,5,85
"7G - Cedar Rapids, IA",OFF,URBAN FUEL- N LIBERTY,1 HAWKEYE DR,NORTH LIBERTY,IA,CEDAR,Easy Eddy 1/12/19.2 oz Can,"AUSTIN BALIK 151- 7G - Cedar Rapids, IA",2.4,5,85
"7G - Cedar Rapids, IA",OFF,URBAN FUEL- N LIBERTY,1 HAWKEYE DR,NORTH LIBERTY,IA,CEDAR,Citrus Surfer 1/12/19.2oz Can,"AUSTIN BALIK 151- 7G - Cedar Rapids, IA",2.4,5,85
"7G - Cedar Rapids, IA",OFF,URBAN FUEL- N LIBERTY,1 HAWKEYE DR,NORTH LIBERTY,IA,CEDAR,Royal Eddy 4/6/12oz Can,"AUSTIN BALIK 151- 7G - Cedar Rapids, IA",1,61,29
"7G - Cedar Rapids, IA",OFF,URBAN FUEL- N LIBERTY,1 HAWKEYE DR,NORTH LIBERTY,IA,CEDAR,Citrus Surfer 4/6/12oz Can,"AUSTIN BALIK 151- 7G - Cedar Rapids, IA",1,110,-20
"7G - Cedar Rapids, IA",OFF,NEIGHBORHOOD FOOD LIQUOR & TOBACCO,1601 6TH ST SW,CEDAR RAPIDS,IA,CEDAR,Easy Eddy 1/12/19.2 oz Can,"JARED ZEUTENHO 162- 7G - Cedar Rapids, IA",7.2,5,85
"7G - Cedar Rapids, IA",OFF,NEIGHBORHOOD FOOD LIQUOR & TOBACCO,1601 6TH ST SW,CEDAR RAPIDS,IA,CEDAR,Easy Eddy 4/6/12oz Can,"JARED ZEUTENHO 162- 7G - Cedar Rapids, IA",3,5,85
