,,,,,,,,,,,No Filters Selected,No Filters Selected,No Filters Selected
Dist Companies,OnOff Premises,Chains,Account Names,Address,City,State,Zip Code,Store Num,Last KARMA entry,Item Names,3 Months 5/1/2026 thru 7/16/2026  Case Equivs,3 Months 5/1/2026 thru 7/16/2026  Authorized Item Gaps,3 Months 5/1/2026 thru 7/16/2026  Authorized Acct Gaps
7G Distributing,ON,INDEPENDENTS,PULLMAN,17 S DUBUQUE ST,IOWA CITY,IA,52240,,20260625,Tigerhawk 1/2 Barrel Keg,6.888889,0,0
7G Distributing,ON,INDEPENDENTS,PULLMAN,17 S DUBUQUE ST,IOWA CITY,IA,52240,,20260625,Tigerhawk 1/24/12oz Can,2,0,0
7G Distributing,ON,INDEPENDENTS,MISSIPI BREWING CO,107 IOWA AVE,MUSCATINE,IA,52761,,20260403,Tigerhawk 1/2 Barrel Keg,6.888889,0,0
7G Distributing,ON,INDEPENDENTS,BLACKSTONE,503 WESTBURY DR STE 1,IOWA CITY,IA,52245,,20251014,Tigerhawk 1/2 Barrel Keg,6.888889,0,0
7G Distributing,ON,INDEPENDENTS,PIN SEEKERS,1515 ANDERSEN PL,TIFFIN,IA,52340,,20260616,Tigerhawk 1/2 Barrel Keg,6.888889,0,0
7G Distributing,ON,INDEPENDENTS,CHAMELEONS,119 1ST ST W,MOUNT VERNON,IA,52314,,20260430,Tigerhawk 1/2 Barrel Keg,6.888889,0,0
7G Distributing,ON,INDEPENDENTS,RIVERSIDE #4,1710 GRANT ST,BETTENDORF,IA,52722,4,20250403,Tigerhawk 1/2 Barrel Keg,6.888889,0,0
7G Distributing,ON,INDEPENDENTS,THE QUARRY,3557 MIDDLE RD,BETTENDORF,IA,52722,,20250730,Tigerhawk 1/2 Barrel Keg,6.888889,0,0
7G Distributing,ON,INDEPENDENTS,LUCKY PENNY,1705 BOYSON RD,HIAWATHA,IA,52233,,20260603,Tigerhawk 1/2 Barrel Keg,6.888889,0,0
7G Distributing,ON,INDEPENDENTS,SHUEYVILLE PARTNERS II #4396777,1158 CLUB RD NE,CEDAR RAPIDS,IA,52404,4396777,20260217,Tigerhawk 1/2 Barrel Keg,6.888889,0,0
7G Distributing,ON,INDEPENDENTS,BUFFS GAME DAY,208 E MAIN ST,SOLON,IA,52333,,20241028,Tigerhawk 4/6/16oz Can,6.666667,0,0
7G Distributing,ON,INDEPENDENTS,CODFISH HOLLOW BARNSTORMERS,2437 288TH AVE,MAQUOKETA,IA,52060,,0,Tigerhawk 4/6/16oz Can,6.666667,0,0
7G Distributing,ON,INDEPENDENTS,ODIES,1650 DOWS ST,ELY,IA,52227,,20260528,Tigerhawk 4/6/16oz Can,6.666666,0,0
7G Distributing,ON,INDEPENDENTS,MICKEYS,11 S DUBUQUE ST,IOWA CITY,IA,52240,,20260219,Tigerhawk 4/6/16oz Can,5.333333,0,0
7G Distributing,ON,INDEPENDENTS,MAQUOKETA COUNTRY CLUB,17961 33RD ST,MAQUOKETA,IA,52060,,0,Tigerhawk 2/12/12oz Can,5,0,0
7G Distributing,ON,INDEPENDENTS,MAQUOKETA COUNTRY CLUB,17961 33RD ST,MAQUOKETA,IA,52060,,0,Tigerhawk 1/6 Barrel Keg,4.586666,0,0
7G Distributing,ON,INDEPENDENTS,MISSISSIPPI RIVER DISTILLING CO,303 N CODY RD,LE CLAIRE,IA,52753,,0,Tigerhawk 1/6 Barrel Keg,4.586666,0,0
7G Distributing,ON,INDEPENDENTS,OZONE,309 W WOOD ST,URBANA,IA,52345,,0,Tigerhawk 1/6 Barrel Keg,4.586666,0,0
7G Distributing,ON,INDEPENDENTS,WISE GUYS PIZZA & PUB,2824 W LOCUST ST,DAVENPORT,IA,52804,,20250304,Tigerhawk 1/6 Barrel Keg,4.586666,0,0
7G Distributing,ON,INDEPENDENTS,RILEY S SPORTS HAUS,2218 E 11TH ST,DAVENPORT,IA,52803,,0,Tigerhawk 1/6 Barrel Keg,4.586666,0,0
7G Distributing,ON,INDEPENDENTS,CIRCLE TAP,1345 W LOCUST ST,DAVENPORT,IA,52804,,20250226,Tigerhawk 1/6 Barrel Keg,4.586666,0,0
7G Distributing,ON,INDEPENDENTS,SMOKEYS GRILL,22392 255TH ST,DELHI,IA,52223,,20240202,Tigerhawk 1/6 Barrel Keg,4.586666,0,0
7G Distributing,ON,INDEPENDENTS,BLUE COLLAR SPORTS BAR,120 E MAIN ST,MANCHESTER,IA,52057,,20260407,Tigerhawk 1/6 Barrel Keg,4.586666,0,0
7G Distributing,ON,INDEPENDENTS,PHO FUSION,5266 UTICA RIDGE RD,DAVENPORT,IA,52807,,0,Tigerhawk 1/6 Barrel Keg,4.586666,0,0
7G Distributing,ON,INDEPENDENTS,J AND A TAP,440 N   DUBUQUE ST,NORTH LIBERTY,IA,52317,,20260205,Tigerhawk 4/6/16oz Can,4,0,0
7G Distributing,ON,INDEPENDENTS,TIME OUT SPORTS BAR,1815 MANUFACTURE DR,CLINTON,IA,52732,,0,Tigerhawk 2/12/12oz Can,4,0,0
7G Distributing,ON,INDEPENDENTS,U OF IA 2400 HANCHER AU #1,141 E PARK RD,IOWA CITY,IA,52242,1,0,Tigerhawk 2/12/12oz Can,4,0,0
7G Distributing,ON,INDEPENDENTS,CEDAR RIVER LANDING,301 F AVE NW,CEDAR RAPIDS,IA,52405,,20260218,Tigerhawk 2/12/12oz Can,4,0,0
7G Distributing,ON,INDEPENDENTS,HILLTOP LOUNGE,1100 N DODGE ST,IOWA CITY,IA,52245,,20260625,Tigerhawk 4/6/16oz Can,3.999999,0,0
7G Distributing,ON,INDEPENDENTS,COACHS CORNER,749 E MORMON TREK,IOWA CITY,IA,52246,,20260709,Tigerhawk 1/24/12oz Can,3,0,0
7G Distributing,ON,INDEPENDENTS,THE DOWNUNDER,102 W MAIN ST,WEST BRANCH,IA,52358,,20251023,Tigerhawk 2/12/12oz Can,3,0,0
7G Distributing,ON,INDEPENDENTS,THE DOWNUNDER,102 W MAIN ST,WEST BRANCH,IA,52358,,20251023,Tigerhawk 1/6 Barrel Keg,2.293333,0,0
7G Distributing,ON,INDEPENDENTS,THE GARDENS LLC,1301 W 13TH ST,DAVENPORT,IA,52804,,0,Tigerhawk 2/12/12oz Can,3,0,0
7G Distributing,ON,INDEPENDENTS,THE HEIGHTS ROOFTOP,901 MELROSE AVE,IOWA CITY,IA,52246,,0,Tigerhawk 1/24/12oz Can,3,0,0
7G Distributing,ON,INDEPENDENTS,FIRST AVE TAP,3108 1ST AVE NE,CEDAR RAPIDS,IA,52402,,20260602,Tigerhawk 4/6/16oz Can,2.666667,0,0
7G Distributing,ON,INDEPENDENTS,LEBOWSKIS BAR & GRILL,925 ROBINS SQ DR,ROBINS,IA,52328,,20260708,Tigerhawk 4/6/16oz Can,2.666667,0,0
7G Distributing,ON,INDEPENDENTS,PEARL ST SOCIAL CLUB,110 PEARL STREET,SHELLSBURG,IA,52332,,20240705,Tigerhawk 4/6/16oz Can,2.666667,0,0
7G Distributing,ON,INDEPENDENTS,KICK STAND,203 16TH AVE SE,CEDAR RAPIDS,IA,52401,,20260629,Tigerhawk 4/6/16oz Can,2.666667,0,0
7G Distributing,ON,INDEPENDENTS,LOCAL EDITION,100 PEARL ST,SHELLSBURG,IA,52332,,20260505,Tigerhawk 4/6/16oz Can,2.666667,0,0
7G Distributing,ON,INDEPENDENTS,LOCAL EDITION,100 PEARL ST,SHELLSBURG,IA,52332,,20260505,Tigerhawk 1/6 Barrel Keg,2.293333,0,0
7G Distributing,ON,INDEPENDENTS,BULLYS NORTH,510 IOWA ST,CENTER POINT,IA,52213,,20260605,Tigerhawk 4/6/16oz Can,2.666666,0,0
7G Distributing,ON,INDEPENDENTS,HART RIDGE GOLFCOURSE,1647 195TH ST,MANCHESTER,IA,52057,,0,Tigerhawk 4/6/16oz Can,2.666666,0,0
7G Distributing,ON,INDEPENDENTS,LEGENDS,2118 HARRISON DR,CLINTON,IA,52732,,0,Tigerhawk 1/6 Barrel Keg,2.293333,0,0
7G Distributing,ON,INDEPENDENTS,BULICEKS LANDING,306 FRANKLIN ST,DELHI,IA,52223,,20260617,Tigerhawk 1/6 Barrel Keg,2.293333,0,0
7G Distributing,ON,INDEPENDENTS,JUMPERS SPORTS BAR,2600 DODGE ST PLAZA 20,DUBUQUE,IA,52003,,20260617,Tigerhawk 1/6 Barrel Keg,2.293333,0,0
7G Distributing,ON,INDEPENDENTS,OAKNOLL RETIREMENT RESIDE,1 OAKNOLL COURT,IOWA CITY,IA,52246,,0,Tigerhawk 1/6 Barrel Keg,2.293333,0,0
7G Distributing,ON,INDEPENDENTS,BLACK SQUIRREL TAP,72 2ND ST SE,SWISHER,IA,52338,,20260603,Tigerhawk 1/6 Barrel Keg,2.293333,0,0
7G Distributing,ON,INDEPENDENTS,RUMORS,400 F AVE NW,CEDAR RAPIDS,IA,52405,,20240703,Tigerhawk 1/6 Barrel Keg,2.293333,0,0
7G Distributing,ON,INDEPENDENTS,DOUBLE BOGEY BAR & GRILL,1143 CEDAR VALLEY RD,TIPTON,IA,52772,,0,Tigerhawk 1/6 Barrel Keg,2.293333,0,0
7G Distributing,ON,INDEPENDENTS,DOUBLE BOGEY BAR & GRILL,1143 CEDAR VALLEY RD,TIPTON,IA,52772,,0,Tigerhawk 2/12/12oz Can,2,0,0
7G Distributing,ON,INDEPENDENTS,FRIDA KAHLO MEXICAN RESTAURANT,101 WINDFLOWER LN STE 500,SOLON,IA,52333,,0,Tigerhawk 1/6 Barrel Keg,2.293333,0,0
7G Distributing,ON,INDEPENDENTS,OSCARS PUB,5027 COMPETITION DR,BETTENDORF,IA,52722,,20240827,Tigerhawk 1/6 Barrel Keg,2.293333,0,0
7G Distributing,ON,INDEPENDENTS,PEDALERS FORK,2010 SYLVIA AVE NE,CEDAR RAPIDS,IA,52402,,20260602,Tigerhawk 1/6 Barrel Keg,2.293333,0,0
7G Distributing,ON,INDEPENDENTS,ARMORED GARDENS,315 PERSHING AVE,DAVENPORT,IA,52801,,20260423,Tigerhawk 1/6 Barrel Keg,2.293333,0,0
7G Distributing,ON,INDEPENDENTS,PIN OAK LINKS,2266 185TH AVE,MANCHESTER,IA,52057,,20260414,Tigerhawk 1/6 Barrel Keg,2.293333,0,0
7G Distributing,ON,INDEPENDENTS,BREW,1104 JERSEY RIDGE RD,DAVENPORT,IA,52803,,20250827,Tigerhawk 1/6 Barrel Keg,2.293333,0,0
7G Distributing,ON,INDEPENDENTS,FIELDHOUSE,5001 1ST AVE SE STE 101,CEDAR RAPIDS,IA,52402,,20260602,Tigerhawk 1/6 Barrel Keg,2.293333,0,0
7G Distributing,ON,INDEPENDENTS,PUB AT UTICA DBA PINTS,5268 UTICA RIDGE RD,DAVENPORT,IA,52807,,20250226,Tigerhawk 1/6 Barrel Keg,2.293333,0,0
7G Distributing,ON,INDEPENDENTS,ASBURY EAGLES CLUB,5900 SARATOGA RD,DUBUQUE,IA,52002,,20240620,Tigerhawk 1/6 Barrel Keg,2.293333,0,0
7G Distributing,ON,INDEPENDENTS,RACKS SWINGING DOOR,127 W MAIN ST,WYOMING,IA,52362,,0,Tigerhawk 1/6 Barrel Keg,2.293333,0,0
7G Distributing,ON,INDEPENDENTS,RACKS SWINGING DOOR,127 W MAIN ST,WYOMING,IA,52362,,0,Tigerhawk 1/24/12oz Can,1,0,0
7G Distributing,ON,INDEPENDENTS,LOPIEZ PIZZA,429 E 3RD ST STE 1,DAVENPORT,IA,52801,,20250328,Tigerhawk 1/6 Barrel Keg,2.293333,0,0
7G Distributing,ON,INDEPENDENTS,BROGANS,806 1ST ST,PALO,IA,52324,,20260701,Tigerhawk 1/6 Barrel Keg,2.293333,0,0
7G Distributing,ON,INDEPENDENTS,JIMMIE OS SALOON,2735 TELEGRAPH RD,DAVENPORT,IA,52804,,20250507,Tigerhawk 1/6 Barrel Keg,2.293333,0,0
7G Distributing,ON,INDEPENDENTS,HAPPY JOES PIZZA,1213 12TH AVE SE,DYERSVILLE,IA,52040,,0,Tigerhawk 1/6 Barrel Keg,2.293333,0,0
7G Distributing,ON,INDEPENDENTS,M LOUNGE,217 BRADY ST,DAVENPORT,IA,52801,,0,Tigerhawk 2/12/12oz Can,2,0,0
7G Distributing,ON,INDEPENDENTS,FRICKS TAP,1402 W 3RD ST,DAVENPORT,IA,52802,,20250310,Tigerhawk 2/12/12oz Can,2,0,0
7G Distributing,ON,INDEPENDENTS,KELSOS CORNER BAR,1117 MOUND ST,DAVENPORT,IA,52803,,20260102,Tigerhawk 2/12/12oz Can,2,0,0
7G Distributing,ON,INDEPENDENTS,STATE 18-,1740 STATE ST,BETTENDORF,IA,52722,,0,Tigerhawk 2/12/12oz Can,2,0,0
7G Distributing,ON,INDEPENDENTS,PITCHERS,620 LINDALE DR,MARION,IA,52302,,20241105,Tigerhawk 2/12/12oz Can,2,0,0
7G Distributing,ON,INDEPENDENTS,DKS DOUBLE DEUCE,112 W MAIN ST,EPWORTH,IA,52045,,0,Tigerhawk 2/12/12oz Can,2,0,0
7G Distributing,ON,INDEPENDENTS,VILLAGE TAP,1616 6TH ST SW,CEDAR RAPIDS,IA,52404,,20260313,Tigerhawk 1/24/12oz Can,2,0,0
7G Distributing,ON,INDEPENDENTS,TAILGATORS SPORTS BARCRV,450 1ST AVE,CORALVILLE,IA,52241,,20260504,Tigerhawk 2/12/12oz Can,2,0,0
7G Distributing,ON,INDEPENDENTS,VINE TAVERN CORALVILLE,39 2ND ST,CORALVILLE,IA,52241,,20260507,Tigerhawk 2/12/12oz Can,2,0,0
7G Distributing,ON,INDEPENDENTS,SAMMYS,5519 CENTER POINT RD NE,CEDAR RAPIDS,IA,52402,,20250226,Tigerhawk 2/12/12oz Can,2,0,0
7G Distributing,ON,INDEPENDENTS,JWS PUB & GRUB,58 MILLER AVE SW,CEDAR RAPIDS,IA,52404,,20260603,Tigerhawk 4/6/16oz Can,1.333333,0,0
7G Distributing,ON,INDEPENDENTS,SLOPS,1015 13TH AVE N,CLINTON,IA,52732,,20260115,Tigerhawk 4/6/16oz Can,1.333333,0,0
7G Distributing,ON,INDEPENDENTS,DANDY LION,111 S DUBUQUE ST,IOWA CITY,IA,52240,,0,Tigerhawk 4/6/16oz Can,1.333333,0,0
7G Distributing,ON,INDEPENDENTS,WIG & PEN PUB,1220 HIGHWAY 6 W,IOWA CITY,IA,52246,,20240829,Tigerhawk 4/6/16oz Can,1.333333,0,0
7G Distributing,ON,INDEPENDENTS,WESTSIDE LOUNGE,325 EDGEWOOD RD NW,CEDAR RAPIDS,IA,52405,,20240507,Tigerhawk 4/6/16oz Can,1.333333,0,0
7G Distributing,ON,INDEPENDENTS,CORNER TAVERN #0,218 GREENE ST,WALKER,IA,52352,0,0,Tigerhawk 4/6/16oz Can,1.333333,0,0
7G Distributing,ON,INDEPENDENTS,MICKYS IRISH PUB,429 E 3RD ST STE 2,DAVENPORT,IA,52801,,20251105,Tigerhawk 4/6/16oz Can,1.333333,0,0
7G Distributing,ON,INDEPENDENTS,EMILS HIDEAWAY,222 GLENBROOK DR SE,CEDAR RAPIDS,IA,52403,,20260602,Tigerhawk 4/6/16oz Can,1.333333,0,0
7G Distributing,ON,INDEPENDENTS,JERSEYS PUB & GRUB,5761 C ST SW STE A,CEDAR RAPIDS,IA,52404,,20260623,Tigerhawk 4/6/16oz Can,1.333333,0,0
7G Distributing,ON,INDEPENDENTS,THE BARN,5090 SHERRILL RD,SHERRILL,IA,52073,,20240125,Tigerhawk 2/12/12oz Can,1,0,0
7G Distributing,ON,INDEPENDENTS,WOLFEYS WAPSI OUTBACK,101 WATER ST BLDG 25,QUASQUETON,IA,52326,,20260605,Tigerhawk 2/12/12oz Can,1,0,0
7G Distributing,ON,INDEPENDENTS,IMPERIAL LANES,1823 S WASHINGTON BLVD,CAMANCHE,IA,52730,,0,Tigerhawk 2/12/12oz Can,1,0,0
7G Distributing,ON,INDEPENDENTS,LUCKYS ON SIXTEENTH,86 16TH AVE SW,CEDAR RAPIDS,IA,52404,,20260602,Tigerhawk 2/12/12oz Can,1,0,0
7G Distributing,ON,INDEPENDENTS,WEST LIBERTY COUNTRY CLUB,1248 COUNTRY HEIGHTS LN,WEST LIBERTY,IA,52776,,0,Tigerhawk 2/12/12oz Can,1,0,0
7G Distributing,ON,INDEPENDENTS,MJS DAWG HOUSE,817 MAIN ST,CENTER POINT,IA,52213,,0,Tigerhawk 2/12/12oz Can,1,0,0
7G Distributing,ON,INDEPENDENTS,BASIL & VINE,1025 UTICA RIDGE PL,BETTENDORF,IA,52722,,0,Tigerhawk 2/12/12oz Can,1,0,0
7G Distributing,ON,INDEPENDENTS,THIRSTY ON 30,502 E FRNT ST,STANWOOD,IA,52337,,0,Tigerhawk 2/12/12oz Can,1,0,0
7G Distributing,ON,INDEPENDENTS,COOPERS PLACE,206 MAIN ST,RYAN,IA,52330,,0,Tigerhawk 2/12/12oz Can,1,0,0
7G Distributing,ON,INDEPENDENTS,HOMEPORT,624 CENTER POINT RD NE,CEDAR RAPIDS,IA,52402,,20260603,Tigerhawk 1/24/12oz Can,1,0,0
7G Distributing,ON,INDEPENDENTS,VICTORY LANE,630 LOMBARD ST,CLARENCE,IA,52216,,20240510,Tigerhawk 2/12/12oz Can,1,0,0
7G Distributing,ON,INDEPENDENTS,DESPERADOS,112 MAIN STREET,WHEATLAND,IA,52777,,0,Tigerhawk 2/12/12oz Can,1,0,0
7G Distributing,ON,INDEPENDENTS,DHARMAS,5898 TROY MILLS RD,TROY MILLS,IA,52344,,0,Tigerhawk 2/12/12oz Can,1,0,0
7G Distributing,ON,INDEPENDENTS,HUBBLES,214 E 2ND,MUSCATINE,IA,52761,,20250718,Tigerhawk 2/12/12oz Can,1,0,0
7G Distributing,ON,ARAMARK,ARAMARK KINNICK STADIUM,825 STADIUM DR,IOWA CITY,IA,52240,,0,Tigerhawk 4/6/16oz Can,213.333333,0,0
7G Distributing,ON,ARAMARK,ARAMARK KINNICK STADIUM,825 STADIUM DR,IOWA CITY,IA,52240,,0,Tigerhawk 1/2 Barrel Keg,68.888889,0,0
7G Distributing,ON,AMERICAN LEGION,AMERICAN LEGION,222 E MAIN ST,SOLON,IA,52333,,20250402,Tigerhawk 4/6/16oz Can,32,0,0
7G Distributing,ON,AMERICAN LEGION,AMERICAN LEGION #331,252 BROADWAY ST,SPRINGVILLE,IA,52336,331,0,Tigerhawk 1/6 Barrel Keg,2.293333,0,0
7G Distributing,ON,BROTHERS BAR & GRILL,BROTHERS BAR & GRILL,125 S DUBUQUE ST,IOWA CITY,IA,52240,,20260219,Tigerhawk 4/6/16oz Can,20,0,0
7G Distributing,ON,BUBBAS 33,BUBBAS 33 #945,4741 E 53RD ST,DAVENPORT,IA,52807,945,0,Tigerhawk 1/2 Barrel Keg,6.888889,0,0
7G Distributing,ON,CLUBPROCURE,ELMCREST COUNTRY CLUB,1 ZACH JOHNSON DR N E,CEDAR RAPIDS,IA,52402,,20260623,Tigerhawk 2/12/12oz Can,4,0,0
7G Distributing,ON,QUINTONS BAR & DELI,QUINTONS BAR & DELI,2500 CORRIDOR WY #5,CORALVILLE,IA,52241,,20260706,Tigerhawk 2/12/12oz Can,2,0,0
7G Distributing,ON,QUINTONS BAR & DELI,QUINTONS BAR & DELI,215 E WASHINGTON ST,IOWA CITY,IA,52240,,20260625,Tigerhawk 2/12/12oz Can,1,0,0
7G Distributing,ON,WAHLBURGERS,WAHLBURGERS #1085,3290 CROSSPARK RD,CORALVILLE,IA,52241,1085,20250224,Tigerhawk 1/6 Barrel Keg,2.293333,0,0
7G Distributing,ON,ELKS LODGE,ELKS LODGE,4400 W CENTRAL PARK AVE,DAVENPORT,IA,52804,,0,Tigerhawk 2/12/12oz Can,2,0,0
7G Distributing,ON,HYATT PLACE,HYATT PLACE,255 E COURT ST,IOWA CITY,IA,52240,,0,Tigerhawk 1/24/12oz Can,1,0,0
7G Distributing,ON,HYATT PLACE,HYATT PLACE,255 E COURT ST,IOWA CITY,IA,52240,,0,Tigerhawk 2/12/12oz Can,1,0,0
7G Distributing,ON,HOOTERS,HOOTERS #1175,110 E KIMBERLY RD,DAVENPORT,IA,52806,1175,20260708,Tigerhawk 2/12/12oz Can,2,0,0
7G Distributing,ON,MOOSE LODGE,MOOSE LODGE,1820 W POST RD SW,CEDAR RAPIDS,IA,52404,,20260218,Tigerhawk 4/6/16oz Can,1.333333,0,0
7G Distributing,ON,DAYS INN,DAYS INN,1111 DODGE ST,DUBUQUE,IA,52003,,0,Tigerhawk 2/12/12oz Can,1,0,0
Doll Distributing,OFF,CASEYS,CASEYS #3050,510 23RD AVE,COUNCIL BLUFFS,IA,51501,3050,0,Tigerhawk 2/12/12oz Can,20,0,0
Doll Distributing,OFF,CASEYS,CASEYS #92,113 NE 3RD ST,PANORA,IA,50216,92,0,Tigerhawk 2/12/12oz Can,20,0,0
Doll Distributing,OFF,CASEYS,CASEYS #1503,721 MAIN ST,TABOR,IA,51653,1503,0,Tigerhawk 2/12/12oz Can,15,0,0
Doll Distributing,OFF,CASEYS,CASEYS #3309,106 N FRONT ST,MONTEZUMA,IA,50171,3309,0,Tigerhawk 2/12/12oz Can,15,0,0
Doll Distributing,OFF,CASEYS,CASEYS #1911,1018 1ST AVE E,NEWTON,IA,50208,1911,0,Tigerhawk 2/12/12oz Can,14,0,0
Doll Distributing,OFF,CASEYS,CASEYS #4396,1130 2ND ST NW,BONDURANT,IA,50035,4396,0,Tigerhawk 2/12/12oz Can,14,0,0
Doll Distributing,OFF,CASEYS,CASEYS #3888,1024 E 1ST ST,ANKENY,IA,50021,3888,0,Tigerhawk 2/12/12oz Can,13,0,0
Doll Distributing,OFF,CASEYS,CASEYS #6122,3434 NEBRASKA AVE,COUNCIL BLUFFS,IA,51501,6122,0,Tigerhawk 2/12/12oz Can,11,0,0
Doll Distributing,OFF,CASEYS,CASEYS #1706,1021 N 1ST ST,WINTERSET,IA,50273,1706,0,Tigerhawk 2/12/12oz Can,10,0,0
Doll Distributing,OFF,CASEYS,CASEYS #2533,2157 HWY 6 TRL,MARENGO,IA,52301,2533,0,Tigerhawk 2/12/12oz Can,10,0,0
Doll Distributing,OFF,CASEYS,CASEYS #3518,1907 ARMY POST RD,DES MOINES,IA,50315,3518,0,Tigerhawk 2/12/12oz Can,10,0,0
Doll Distributing,OFF,CASEYS,CASEYS #2304,200 6TH AVE,SLATER,IA,50244,2304,0,Tigerhawk 2/12/12oz Can,10,0,0
Doll Distributing,OFF,CASEYS,CASEYS #6116,15 N 16TH ST,COUNCIL BLUFFS,IA,51501,6116,0,Tigerhawk 2/12/12oz Can,10,0,0
Doll Distributing,OFF,CASEYS,CASEYS #2521,110 5TH ST,ADAIR,IA,50002,2521,20250217,Tigerhawk 2/12/12oz Can,10,0,0
Doll Distributing,OFF,CASEYS,CASEYS #2538,20 W HICKMAN RD,WAUKEE,IA,50263,2538,0,Tigerhawk 2/12/12oz Can,10,0,0
Doll Distributing,OFF,CASEYS,CASEYS #3042,106 W 2ND ST,BROOKLYN,IA,52211,3042,0,Tigerhawk 2/12/12oz Can,10,0,0
Doll Distributing,OFF,CASEYS,CASEYS #1908,507 S JEFFERSON WAY,INDIANOLA,IA,50125,1908,0,Tigerhawk 2/12/12oz Can,10,0,0
Doll Distributing,OFF,CASEYS,CASEYS #2640,1006 W PLEASANT ST,PLEASANTVILLE,IA,50225,2640,0,Tigerhawk 2/12/12oz Can,10,0,0
Doll Distributing,OFF,CASEYS,CASEYS #24,1127 STORY ST,BOONE,IA,50036,24,0,Tigerhawk 2/12/12oz Can,10,0,0
Doll Distributing,OFF,CASEYS,CASEYS #2834,501 N BROOKS ST,LENOX,IA,50851,2834,0,Tigerhawk 2/12/12oz Can,10,0,0
Doll Distributing,OFF,CASEYS,CASEYS #3746,1650 NE BEAVERBROOKE BLVD,GRIMES,IA,50111,3746,0,Tigerhawk 2/12/12oz Can,10,0,0
Doll Distributing,OFF,CASEYS,CASEYS #2922,3501 E 14TH ST,DES MOINES,IA,50316,2922,0,Tigerhawk 2/12/12oz Can,10,0,0
Doll Distributing,OFF,CASEYS,CASEYS #2551,906 S MAIN ST,WOODWARD,IA,50276,2551,0,Tigerhawk 2/12/12oz Can,10,0,0
Doll Distributing,OFF,CASEYS,CASEYS #3205,19900 VIRGINIA HILLS RD,COUNCIL BLUFFS,IA,51503,3205,0,Tigerhawk 2/12/12oz Can,10,0,0
Doll Distributing,OFF,CASEYS,CASEYS #2314,3527 INDIANOLA AVE,DES MOINES,IA,50320,2314,0,Tigerhawk 2/12/12oz Can,10,0,0
Doll Distributing,OFF,CASEYS,CASEYS #1493,700 DEBRA DR,VAN METER,IA,50261,1493,0,Tigerhawk 2/12/12oz Can,10,0,0
Doll Distributing,OFF,CASEYS,CASEYS #3617,635 LANG CREEK AVE,GRINNELL,IA,50112,3617,0,Tigerhawk 2/12/12oz Can,10,0,0
Doll Distributing,OFF,CASEYS,CASEYS #2237,1002 W 2ND ST,PRAIRIE CITY,IA,50228,2237,0,Tigerhawk 2/12/12oz Can,10,0,0
Doll Distributing,OFF,CASEYS,CASEYS #2914,1006 CHATBURN AVE,HARLAN,IA,51537,2914,0,Tigerhawk 2/12/12oz Can,10,0,0
Doll Distributing,OFF,CASEYS,CASEYS #1007,701 MAIN ST,MALVERN,IA,51551,1007,0,Tigerhawk 2/12/12oz Can,10,0,0
Doll Distributing,OFF,CASEYS,CASEYS #3404,1020 GATEWAY DR,CARLISLE,IA,50047,3404,0,Tigerhawk 2/12/12oz Can,10,0,0
Doll Distributing,OFF,CASEYS,CASEYS #2528,602 HIGHLAND ST S,WILLIAMSBURG,IA,52361,2528,0,Tigerhawk 2/12/12oz Can,10,0,0
Doll Distributing,OFF,CASEYS,CASEYS #1029,1207 STATE ST,TAMA,IA,52339,1029,0,Tigerhawk 2/12/12oz Can,10,0,0
Doll Distributing,OFF,CASEYS,CASEYS #3251,1303 SE MARSHALL ST,BOONE,IA,50036,3251,0,Tigerhawk 2/12/12oz Can,10,0,0
Doll Distributing,OFF,CASEYS,CASEYS #3789,2480 1ST AVE S,ALTOONA,IA,50009,3789,0,Tigerhawk 2/12/12oz Can,10,0,0
Doll Distributing,OFF,CASEYS,CASEYS #1827,1007 N LINCOLN ST,KNOXVILLE,IA,50138,1827,0,Tigerhawk 2/12/12oz Can,10,0,0
Doll Distributing,OFF,CASEYS,CASEYS #3915,3200 SW 9TH ST,DES MOINES,IA,50315,3915,0,Tigerhawk 2/12/12oz Can,10,0,0
Doll Distributing,OFF,CASEYS,CASEYS #3509,1650 E LOCUST ST,CARTER LAKE,IA,51510,3509,0,Tigerhawk 2/12/12oz Can,10,0,0
Doll Distributing,OFF,CASEYS,CASEYS #1330,1211 WASHINGTON ST,HAMBURG,IA,51640,1330,0,Tigerhawk 2/12/12oz Can,10,0,0
Doll Distributing,OFF,CASEYS,CASEYS #1682,1310 A AVE W,OSKALOOSA,IA,52577,1682,0,Tigerhawk 2/12/12oz Can,10,0,0
Doll Distributing,OFF,CASEYS,CASEYS #3210,4400 128TH ST,URBANDALE,IA,50323,3210,0,Tigerhawk 2/12/12oz Can,10,0,0
Doll Distributing,OFF,CASEYS,CASEYS #2417,1200 W 18TH ST S,NEWTON,IA,50208,2417,0,Tigerhawk 2/12/12oz Can,10,0,0
Doll Distributing,OFF,CASEYS,CASEYS #3566,509 MAIN ST,PELLA,IA,50219,3566,0,Tigerhawk 2/12/12oz Can,10,0,0
Doll Distributing,OFF,CASEYS,CASEYS #1548,2905 W 1ST ST,ANKENY,IA,50023,1548,0,Tigerhawk 2/12/12oz Can,10,0,0
Doll Distributing,OFF,CASEYS,CASEYS #2491,1107 S 16TH ST,CLARINDA,IA,51632,2491,0,Tigerhawk 2/12/12oz Can,10,0,0
