Distributors,Brands,Item Names,Draft/Package,Current On Hand in Case Equivs,Projected Daily Rate of Sales,Projected Days on Hand,90 Days 4/23/2026 thru 7/21/2026 Case Equivs,90 Days 4/23/2025 thru 7/21/2025 Case Equivs,Pct,90 Days  7/22/2025 thru 10/19/2025 Case Equivs,Projected 90 Days Sales Case Equivs,Projected Order in Case Equivs,Last Sale Date
"Doll Dist - Des Moines, IA",Wild Eddy,Wild Eddy 1/2 Barrel Keg,DRAFT,75.778,0.925477007071,81.8799,130.888891,227.333337,-0.424242424242,144.666669,83.292930636425,-20.041069363575,07/17/2026
"Doll Dist - Des Moines, IA",Wild Eddy,Wild Eddy 1/6 Barrel Keg,DRAFT,38.987,0.358864131829,108.64,29.813329,55.039995,-0.458333362857,59.626659,32.297771864602,-6.689228135398,07/16/2026
"Doll Dist - Des Moines, IA",Rainbow Connection,Rainbow Connection 6/4/12oz Can,PACKAGE,141,0.41847826087,336.9351,105,184,-0.429347826087,66,37.663043478258,-103.336956521742,07/16/2026
"Doll Dist - Des Moines, IA",Rainbow Connection,Rainbow Connection 1/2 Barrel Keg,DRAFT,0,1.224691377778,0,110.222224,220.444448,-0.5,0,0,0,06/11/2026
"Doll Dist - Des Moines, IA",Arms Race Pale Ale,Arms Race Pale Ale 1/2 Barrel Keg,DRAFT,55.111,0.906742654701,60.7791,96.444446,89.555557,0.076923076923,75.777779,81.606838923071,-28.615161076929,07/16/2026
"Doll Dist - Des Moines, IA",Arms Race Pale Ale,Arms Race Pale Ale 2/12/12oz Can,PACKAGE,0,0,0,0,0,--,0,0,0,05/18/2023
"Doll Dist - Des Moines, IA",Arms Race Pale Ale,Arms Race Pale Ale 4/6/12oz Can,PACKAGE,0,0.41439909297,0,43,98,-0.561224489796,85,37.29591836734,37.29591836734,06/11/2026
"Doll Dist - Des Moines, IA",Arms Race Pale Ale,Arms Race Pale Ale 1/6 Barrel Keg,DRAFT,0,0,0,0,27.519996,-1,22.93333,0,0,02/13/2026
"Doll Dist - Des Moines, IA",Double Blackberry,Double Blackberry 6/4/12oz Can,PACKAGE,52,1.67757936508,30.997,178,224,-0.205357142857,190,150.98214285717,58.98214285717,07/20/2026
"Doll Dist - Des Moines, IA",Double Blackberry,Double Blackberry 1/6 Barrel Keg,DRAFT,0,1.3250369,0,0,0,--,119.253321,119.253321,119.253321,01/29/2026
"Doll Dist - Des Moines, IA",Double Blackberry,Double Blackberry 1/2 Barrel Keg,DRAFT,0,2.985185233333,0,0,0,--,268.666671,268.666671,268.666671,01/08/2026
"Doll Dist - Des Moines, IA",Lupo,Lupo 4/6/12oz Can,PACKAGE,51,0.247474747475,206.0816,49,110,-0.554545454545,50,22.27272727275,-28.72727272725,07/17/2026
"Doll Dist - Des Moines, IA",Lupo,Lupo 1/6 Barrel,DRAFT,0,0,0,0,22.93333,-1,0,0,0,07/18/2025
"Doll Dist - Des Moines, IA",Lupo,Lupo 1/2 Barrel,DRAFT,0,0.504284680393,0,110.222223,234.222226,-0.529411768975,96.444446,45.385621235326,45.385621235326,06/25/2026
"Doll Dist - Des Moines, IA",Squeeze Citrus Spritz,Squeeze Citrus Spritz 6/4/12 oz,PACKAGE,31,0.177777777778,174.375,34,0,--,8,16,-28,07/06/2026
"Doll Dist - Des Moines, IA",Squeeze Grapefruit Paloma,Squeeze Grapefruit Paloma 6/4/12 oz,PACKAGE,21,0.2,105,36,0,--,9,18,-16,07/16/2026
"Doll Dist - Des Moines, IA",Sweet Spot Half and Half,Sweet Spot Half and Half 6/4/12oz Can,PACKAGE,17,0.078853046595,215.5909,15,93,-0.838709677419,44,7.096774193564,-9.903225806436,07/16/2026
"Doll Dist - Des Moines, IA",Paper Sun,Paper Sun Mexican Lager 1/2 Barrel Keg,DRAFT,13.778,1.071604944444,12.8574,96.444445,55.111112,0.749999981855,0,0,-13.778,07/16/2026
"Doll Dist - Des Moines, IA",Paper Sun,Paper Sun Mexican Lager 4/6/12oz Can,PACKAGE,0,0,0,0,80,-1,44,0,0,10/29/2025
"Doll Dist - Des Moines, IA",Sweet Spot Light Hard Ice,Sweet Spot Light Hard Iced Tea 6/4/12oz Can,PACKAGE,4,0.024074074074,166.1538,8,48,-0.833333333333,13,2.166666666671,-1.833333333329,06/30/2026
"Doll Dist - Des Moines, IA",Triple Eddy,Triple Eddy 4/6/8oz Can,PACKAGE,2,0.6000002,3.3333,54.000018,0,--,0,0,-22,07/17/2026
"Doll Dist - Des Moines, IA",Triple Eddy,Triple Eddy 6/4/12oz Can,PACKAGE,0,0,0,0,0,--,0,0,0,01/02/2026
"Doll Dist - Des Moines, IA",Freezy Eddy,Freezy Eddy 4/6/12oz can,PACKAGE,0,0,0,0,37,-1,158,0,0,10/02/2025
